"","Label","Type","00- Reference Model","01- No Acoustic visual","02- No tagging index","03- No non-trawl index","04- No ORBS index","05- No MRFSS index","06- No MPA index","07- Add SMURF index","08- No data-weighting","09- Dirichlet","10- McA-I","11- 2015 Catch history","12- Sex=3","13- Sex=3, est M","14- No age bias"
"86",NA,"VonBert_K_Mal_GP_1",0.215239,0.215434,0.215226,0.214414,0.21541,0.215697,0.215239,0.215219,0.212281,0.208623,0.211268,0.215001,0.216849,0.21254,0.221706
"87",NA,"CV_young_Mal_GP_1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"88",NA,"CV_old_Mal_GP_1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"89",NA,"Wtlen_1_Mal_GP_1",2.56318e-05,2.56318e-05,2.56318e-05,2.56318e-05,2.56318e-05,2.56318e-05,2.56318e-05,2.56318e-05,2.56318e-05,2.56318e-05,2.56318e-05,2.56318e-05,2.56318e-05,2.56318e-05,2.56318e-05
"90",NA,"Wtlen_2_Mal_GP_1",2.89394,2.89394,2.89394,2.89394,2.89394,2.89394,2.89394,2.89394,2.89394,2.89394,2.89394,2.89394,2.89394,2.89394,2.89394
"91",NA,"CohortGrowDev",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"92",NA,"FracFemale_GP_1",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"93",NA,"SR_LN(R0)",8.10434,8.0944,8.10815,8.01864,8.12198,8.1101,8.10858,8.10535,8.22919,8.25509,8.07918,8.07564,8.09112,8.86904,8.07394
"94",NA,"SR_BH_steep",0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72
"95",NA,"SR_sigmaR",0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
"96",NA,"SR_regime",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97",NA,"SR_autocorr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98",NA,"Main_RecrDev_1980",-0.761579,-0.747824,-0.769441,-0.605502,-0.798416,-0.698112,-0.768549,-0.762852,-0.80732,-0.791631,-0.752789,-0.897557,-0.702064,-0.561067,-0.715779
"99",NA,"Main_RecrDev_1981",-0.753759,-0.741428,-0.760956,-0.611085,-0.787508,-0.72241,-0.760069,-0.754993,-0.668728,-0.668449,-0.806124,-0.870799,-0.739622,-0.632297,-0.666433
"100",NA,"Main_RecrDev_1982",-0.459911,-0.44732,-0.467142,-0.313491,-0.493815,-0.469194,-0.466297,-0.461544,-0.265328,-0.28396,-0.628158,-0.568089,-0.475886,-0.399594,-0.42719
"101",NA,"Main_RecrDev_1983",-0.523346,-0.511351,-0.530302,-0.383039,-0.555884,-0.541935,-0.529463,-0.524864,-0.437458,-0.458012,-0.647849,-0.617978,-0.536307,-0.484767,-0.403589
"102",NA,"Main_RecrDev_1984",-0.0778056,-0.0661973,-0.0844571,0.0586926,-0.108905,-0.11665,-0.0837074,-0.0795613,0.0124558,-0.0214697,-0.226839,-0.149209,-0.102605,-0.0897694,0.0609117
